"query","log2Enr","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","highlighted"
"query_1",1.29380929921285,TRUE,3.08936553108641e-06,585,295,58,0.196610169491525,0.0991452991452991,"GO:0007267","GO:BP","cell-cell signaling",7295,2828,"GO:0007154, GO:0023052",FALSE
"query_1",1.27448416394135,TRUE,0.029084462594676,368,295,36,0.122033898305085,0.0978260869565217,"GO:0022603","GO:BP","regulation of anatomical structure morphogenesis",7295,6848,"GO:0009653, GO:0050793",FALSE
"query_1",1.26643531443095,TRUE,1.07708552316486e-07,699,295,68,0.230508474576271,0.0972818311874106,"GO:0048699","GO:BP","generation of neurons",7295,13381,"GO:0022008",FALSE
"query_1",1.25766312974103,TRUE,0.0184411883005295,393,295,38,0.128813559322034,0.0966921119592875,"GO:0099081","GO:CC","supramolecular polymer",7295,3342,"GO:0099080",TRUE
"query_1",1.25501429974312,TRUE,0.0403695223203043,373,295,36,0.122033898305085,0.096514745308311,"GO:0140352","GO:BP","export from cell",7295,20313,"GO:0006810, GO:0009987",FALSE
"query_1",1.24989262650544,TRUE,3.30410887795024e-13,1019,295,98,0.332203389830508,0.0961727183513248,"GO:0120025","GO:CC","plasma membrane bounded cell projection",7295,3443,"GO:0042995",FALSE
"query_1",1.24520239377954,TRUE,0.00252027443880521,459,295,44,0.149152542372881,0.0958605664488017,"GO:0098590","GO:CC","plasma membrane region",7295,3217,"GO:0005886, GO:0016020",FALSE
"query_1",1.23920868919382,TRUE,1.36143798742926e-13,1058,295,101,0.342372881355932,0.0954631379962193,"GO:0042995","GO:CC","cell projection",7295,1845,"GO:0110165",FALSE
"query_1",1.23766164199787,TRUE,0.0376551682328595,388,295,37,0.125423728813559,0.095360824742268,"GO:0046903","GO:BP","secretion",7295,12846,"GO:0006810",FALSE
"query_1",1.23450805577922,TRUE,0.000109008197215065,557,295,53,0.179661016949153,0.0951526032315978,"GO:0003008","GO:BP","system process",7295,1466,"GO:0032501",FALSE
"query_1",1.22654968687765,TRUE,0.0455167043541068,391,295,37,0.125423728813559,0.0946291560102302,"GO:0099512","GO:CC","supramolecular fiber",7295,3365,"GO:0099081",FALSE
"query_1",1.22439893250504,TRUE,8.50946745686734e-08,762,295,72,0.24406779661017,0.094488188976378,"GO:0016192","GO:BP","vesicle-mediated transport",7295,5229,"GO:0006810, GO:0009987",FALSE
"query_1",1.21128137664322,TRUE,4.00229449920621e-08,801,295,75,0.254237288135593,0.0936329588014981,"GO:0022008","GO:BP","neurogenesis",7295,6799,"GO:0007399, GO:0030154",FALSE
"query_1",1.1947854705578,TRUE,3.46157856762037e-07,767,295,71,0.240677966101695,0.0925684485006519,"GO:0120036","GO:BP","plasma membrane bounded cell projection organization",7295,20035,"GO:0030030",FALSE
"query_1",1.19214847274274,TRUE,1.15295216560549e-05,671,295,62,0.210169491525424,0.0923994038748137,"GO:0051049","GO:BP","regulation of transport",7295,13898,"GO:0006810, GO:0032879",FALSE
"query_1",1.18333627588315,TRUE,3.45697968908473e-07,784,295,72,0.24406779661017,0.0918367346938776,"GO:0030030","GO:BP","cell projection organization",7295,6891,"GO:0016043",FALSE
"query_1",1.12242189635955,TRUE,0.00164511024740534,602,295,53,0.179661016949153,0.0880398671096345,"GO:0051130","GO:BP","positive regulation of cellular component organization",7295,13955,"GO:0016043, GO:0048522, GO:0051128",FALSE
"query_1",1.10856850748118,TRUE,9.24515485289618e-06,539,295,47,0.159322033898305,0.0871985157699443,"CORUM:0000000","CORUM","CORUM root",7295,1,"",FALSE
"query_1",1.10319620062073,TRUE,3.63087148528347e-09,1059,295,92,0.311864406779661,0.0868744098205855,"GO:0007399","GO:BP","nervous system development",7295,2932,"GO:0048731",FALSE
"query_1",1.04958488699433,TRUE,1.05363437425636e-05,896,295,75,0.254237288135593,0.0837053571428571,"GO:0032879","GO:BP","regulation of localization",7295,8155,"GO:0050789, GO:0051179",FALSE
"query_1",1.04616736770723,TRUE,2.33384607651426e-06,958,295,80,0.271186440677966,0.0835073068893528,"GO:0031982","GO:CC","vesicle",7295,1228,"GO:0043227",FALSE
